timestamp,active_players,queue_size,login_rate,chat_rate,cpu_load
2024-01-01 00:40:30,80,22,0,91,18.97
2024-01-01 00:41:00,98,33,5,64,20.27
2024-01-01 00:41:30,103,30,3,82,15.79
2024-01-01 00:42:00,106,33,5,119,20.71
2024-01-01 00:42:30,88,15,6,84,14.32
2024-01-01 00:43:00,98,25,8,47,15.74
2024-01-01 00:43:30,85,29,5,78,16.63
2024-01-01 00:44:00,112,29,9,85,18.36
2024-01-01 00:44:30,98,21,3,67,16.99
2024-01-01 00:45:00,103,27,7,86,18.37
2024-01-01 00:45:30,93,24,7,83,14.94
2024-01-01 00:46:00,82,23,7,36,15.39
2024-01-01 00:46:30,109,29,5,65,19.26
2024-01-01 00:47:00,106,33,4,89,17.24
2024-01-01 00:47:30,112,29,8,94,14.13
2024-01-01 00:48:00,95,29,4,85,14.21
2024-01-01 00:48:30,107,33,8,113,14.44
2024-01-01 00:49:00,110,32,8,112,17.7
2024-01-01 00:49:30,105,22,4,86,22.83
2024-01-01 00:50:00,96,27,2,67,18.96
2024-01-01 00:50:30,106,35,5,81,14.81
2024-01-01 00:51:00,100,23,6,80,15.79
2024-01-01 00:51:30,101,33,4,54,13.08
2024-01-01 00:52:00,103,27,2,94,23.2
2024-01-01 00:52:30,103,29,3,69,13.5
2024-01-01 00:53:00,113,34,3,76,17.07
2024-01-01 00:53:30,104,26,8,66,17.98
2024-01-01 00:54:00,103,38,4,62,19.16
2024-01-01 00:54:30,89,20,4,49,17.21
2024-01-01 00:55:00,109,31,6,102,15.82
2024-01-01 00:55:30,101,40,5,90,14.96
2024-01-01 00:56:00,93,32,1,93,13.93
2024-01-01 00:56:30,98,31,6,83,17.63
2024-01-01 00:57:00,98,28,3,68,16.33
2024-01-01 00:57:30,104,34,4,78,18.57
2024-01-01 00:58:00,104,27,-1,84,16.9
2024-01-01 00:58:30,101,28,3,91,18.93
2024-01-01 00:59:00,116,44,3,60,14.81
2024-01-01 00:59:30,95,31,5,67,18.95
2024-01-01 01:00:00,130,45,8,79,13.75
2024-01-01 01:00:30,102,33,2,83,19.67
2024-01-01 01:01:00,96,30,3,64,16.61
2024-01-01 01:01:30,125,37,7,102,15.84
2024-01-01 01:02:00,102,26,4,93,19.93
2024-01-01 01:02:30,115,32,8,105,18.79
2024-01-01 01:03:00,108,37,9,39,20.39
2024-01-01 01:03:30,116,33,5,91,14.65
2024-01-01 01:04:00,99,33,6,69,17.48
2024-01-01 01:04:30,118,34,6,131,12.73
2024-01-01 01:05:00,131,35,7,102,18.31
2024-01-01 01:05:30,104,28,3,82,13.43
2024-01-01 01:06:00,118,30,5,104,16.38
2024-01-01 01:06:30,122,35,6,83,17.1
2024-01-01 01:07:00,116,42,7,100,17.3
2024-01-01 01:07:30,125,28,11,90,18.79
2024-01-01 01:08:00,137,35,6,92,18.86
2024-01-01 01:08:30,130,37,3,86,20.46
2024-01-01 01:09:00,111,37,3,87,20.46
2024-01-01 01:09:30,113,25,8,117,15.38
2024-01-01 01:10:00,119,36,4,74,18.45
2024-01-01 01:10:30,102,32,0,129,18.82
2024-01-01 01:11:00,117,38,4,99,13.95
2024-01-01 01:11:30,107,33,5,119,22.37
2024-01-01 01:12:00,126,40,6,114,14.99
2024-01-01 01:12:30,121,32,9,82,18.85
2024-01-01 01:13:00,122,37,7,99,17.18
2024-01-01 01:13:30,112,25,6,102,18.65
2024-01-01 01:14:00,123,43,7,115,16.8
2024-01-01 01:14:30,107,30,6,74,18.51
2024-01-01 01:15:00,103,35,7,101,25.12
2024-01-01 01:15:30,137,45,10,100,20.04
2024-01-01 01:16:00,115,25,5,109,18.75
2024-01-01 01:16:30,125,28,5,74,21.98
2024-01-01 01:17:00,131,36,5,78,19.18
2024-01-01 01:17:30,113,30,5,48,23.91
2024-01-01 01:18:00,114,31,7,102,25.97
2024-01-01 01:18:30,113,36,6,92,21.89
2024-01-01 01:19:00,137,43,6,83,20.67
2024-01-01 01:19:30,120,36,6,78,17.21
2024-01-01 01:20:00,129,32,6,72,17.05
2024-01-01 01:20:30,90,26,3,49,17.68
2024-01-01 01:21:00,126,33,4,99,18.4
2024-01-01 01:21:30,130,36,8,80,17.6
2024-01-01 01:22:00,115,27,8,113,22.27
2024-01-01 01:22:30,123,35,9,109,16.99
2024-01-01 01:23:00,114,31,5,114,19.55
2024-01-01 01:23:30,132,35,8,94,20.23
2024-01-01 01:24:00,108,34,3,101,22.7
2024-01-01 01:24:30,119,26,11,101,17.92
2024-01-01 01:25:00,107,35,5,72,17.8
2024-01-01 01:25:30,115,32,6,83,23.87
2024-01-01 01:26:00,110,30,4,87,21.1
2024-01-01 01:26:30,116,34,5,103,25.29
2024-01-01 01:27:00,137,53,8,110,22.71
2024-01-01 01:27:30,127,40,4,117,16.24
2024-01-01 01:28:00,125,34,8,85,16.9
2024-01-01 01:28:30,126,43,4,102,18.74
2024-01-01 01:29:00,132,39,5,107,24.09
2024-01-01 01:29:30,127,39,5,67,20.41
2024-01-01 01:30:00,106,31,3,81,19.27
2024-01-01 01:30:30,109,41,5,71,13.31
2024-01-01 01:31:00,124,30,5,104,17.72
2024-01-01 01:31:30,124,35,9,83,24.02
2024-01-01 01:32:00,117,28,5,104,19.47
2024-01-01 01:32:30,133,36,7,84,22.4
2024-01-01 01:33:00,104,24,0,67,15.47
2024-01-01 01:33:30,130,40,7,90,24.85
2024-01-01 01:34:00,117,31,5,112,16.94
2024-01-01 01:34:30,125,43,8,92,22.74
2024-01-01 01:35:00,131,37,8,101,15.03
2024-01-01 01:35:30,128,36,6,112,19.18
2024-01-01 01:36:00,118,38,5,91,17.76
2024-01-01 01:36:30,115,24,3,72,18.86
2024-01-01 01:37:00,115,33,5,102,21.43
2024-01-01 01:37:30,124,38,3,55,24.23
2024-01-01 01:38:00,120,28,6,103,18.72
2024-01-01 01:38:30,117,37,5,84,19.83
2024-01-01 01:39:00,123,38,8,68,26.93
2024-01-01 01:39:30,135,41,7,112,23.31
2024-01-01 01:40:00,112,40,6,72,20.79
2024-01-01 01:40:30,126,38,3,86,14.64
2024-01-01 01:41:00,111,40,7,100,24.13
2024-01-01 01:41:30,123,29,5,116,24.01
2024-01-01 01:42:00,123,32,2,102,17.73
2024-01-01 01:42:30,135,33,8,113,20.64
2024-01-01 01:43:00,125,48,8,115,17.61
2024-01-01 01:43:30,122,38,3,102,23.65
2024-01-01 01:44:00,134,47,7,102,20.14
2024-01-01 01:44:30,126,34,5,83,20.75
2024-01-01 01:45:00,114,27,7,82,23.65
2024-01-01 01:45:30,118,40,4,77,21.04
2024-01-01 01:46:00,126,37,5,90,21.78
2024-01-01 01:46:30,122,40,8,57,15.64
2024-01-01 01:47:00,127,31,7,76,20.03
2024-01-01 01:47:30,109,38,0,112,18.82
2024-01-01 01:48:00,123,32,6,74,19.82
2024-01-01 01:48:30,116,36,2,91,19.78
2024-01-01 01:49:00,115,30,5,121,22.43
2024-01-01 01:49:30,136,40,5,111,25.7
2024-01-01 01:50:00,122,30,5,99,17.01
2024-01-01 01:50:30,107,26,4,113,20.61
2024-01-01 01:51:00,124,31,7,111,13.58
2024-01-01 01:51:30,118,37,3,109,21.78
2024-01-01 01:52:00,120,36,8,82,14.87
2024-01-01 01:52:30,121,36,4,93,23.18
2024-01-01 01:53:00,134,33,7,107,18.45
2024-01-01 01:53:30,119,25,7,107,20.75
2024-01-01 01:54:00,111,34,4,83,20.75
2024-01-01 01:54:30,127,28,5,148,24.41
2024-01-01 01:55:00,127,42,4,85,21.13
2024-01-01 01:55:30,111,30,5,103,21.8
2024-01-01 01:56:00,125,37,7,88,23.11
2024-01-01 01:56:30,125,36,3,79,19.29
2024-01-01 01:57:00,125,37,9,105,22.75
2024-01-01 01:57:30,115,35,4,103,18.35
2024-01-01 01:58:00,117,41,4,102,19.05
2024-01-01 01:58:30,116,35,4,76,19.05
2024-01-01 01:59:00,117,30,9,95,22.98
2024-01-01 01:59:30,99,35,5,114,23.14
2024-01-01 02:00:00,109,35,5,92,23.33
2024-01-01 02:00:30,139,45,4,103,16.52
2024-01-01 02:01:00,141,37,6,92,19.05
2024-01-01 02:01:30,162,47,5,137,18.86
2024-01-01 02:02:00,152,40,8,100,20.81
2024-01-01 02:02:30,151,48,6,133,18.4
2024-01-01 02:03:00,139,46,9,105,20.53
2024-01-01 02:03:30,150,41,8,114,19.78
2024-01-01 02:04:00,145,44,7,107,18.42
2024-01-01 02:04:30,142,46,6,111,20.25
2024-01-01 02:05:00,142,38,9,152,21.48
2024-01-01 02:05:30,143,33,12,83,20.43
2024-01-01 02:06:00,122,38,7,94,22.59
2024-01-01 02:06:30,138,46,4,158,23.92
2024-01-01 02:07:00,142,43,7,99,23.97
2024-01-01 02:07:30,150,49,7,124,19.44
2024-01-01 02:08:00,143,30,2,88,24.31
2024-01-01 02:08:30,124,34,7,86,20.14
2024-01-01 02:09:00,137,45,8,70,15.95
2024-01-01 02:09:30,128,37,5,107,14.16
2024-01-01 02:10:00,132,45,4,92,20.81
2024-01-01 02:10:30,147,36,4,160,23.13
2024-01-01 02:11:00,146,55,9,90,22.68
2024-01-01 02:11:30,156,42,4,113,23.77
2024-01-01 02:12:00,154,44,10,105,22.4
2024-01-01 02:12:30,132,47,7,111,26.05
2024-01-01 02:13:00,157,54,6,145,23.46
2024-01-01 02:13:30,115,26,3,83,24.0
2024-01-01 02:14:00,132,29,6,147,24.06
2024-01-01 02:14:30,141,41,5,116,22.79
2024-01-01 02:15:00,154,49,7,120,21.48
2024-01-01 02:15:30,139,40,6,140,22.35
2024-01-01 02:16:00,133,41,9,104,23.16
2024-01-01 02:16:30,134,47,10,92,26.3
2024-01-01 02:17:00,165,50,7,133,24.54
2024-01-01 02:17:30,139,43,6,150,23.31
2024-01-01 02:18:00,161,48,7,100,23.98
2024-01-01 02:18:30,134,46,2,114,22.34
2024-01-01 02:19:00,132,36,5,135,26.72
2024-01-01 02:19:30,139,45,4,130,21.56
2024-01-01 02:20:00,159,47,11,130,25.89
2024-01-01 02:20:30,143,46,5,97,23.74
2024-01-01 02:21:00,155,48,6,124,23.22
2024-01-01 02:21:30,125,38,6,115,26.71
2024-01-01 02:22:00,128,35,8,53,27.77
2024-01-01 02:22:30,140,45,3,110,21.44
2024-01-01 02:23:00,146,45,9,106,28.62
2024-01-01 02:23:30,154,46,0,104,18.79
2024-01-01 02:24:00,129,37,11,99,25.52
2024-01-01 02:24:30,151,45,12,125,22.51
2024-01-01 02:25:00,142,40,6,97,23.95
2024-01-01 02:25:30,141,47,7,91,21.33
2024-01-01 02:26:00,153,50,12,108,23.34
2024-01-01 02:26:30,149,44,6,124,23.31
2024-01-01 02:27:00,134,39,7,129,25.21
2024-01-01 02:27:30,116,42,4,130,17.51
2024-01-01 02:28:00,151,45,8,103,30.89
2024-01-01 02:28:30,135,36,4,88,22.86
2024-01-01 02:29:00,135,38,7,95,25.07
2024-01-01 02:29:30,136,46,5,61,23.56
2024-01-01 02:30:00,150,41,6,112,25.2
2024-01-01 02:30:30,145,39,5,113,25.07
2024-01-01 02:31:00,138,42,7,84,24.26
2024-01-01 02:31:30,144,50,3,125,19.89
2024-01-01 02:32:00,131,38,7,88,26.33
2024-01-01 02:32:30,127,48,7,64,22.67
2024-01-01 02:33:00,150,50,9,125,22.71
2024-01-01 02:33:30,133,39,7,124,23.12
2024-01-01 02:34:00,119,34,5,87,21.33
2024-01-01 02:34:30,132,36,6,90,23.13
2024-01-01 02:35:00,127,33,4,94,27.92
2024-01-01 02:35:30,149,48,7,151,22.92
2024-01-01 02:36:00,126,39,7,106,27.97
2024-01-01 02:36:30,125,32,7,90,25.57
2024-01-01 02:37:00,132,40,5,117,21.26
2024-01-01 02:37:30,148,42,9,95,19.11
2024-01-01 02:38:00,140,51,5,116,23.95
2024-01-01 02:38:30,133,48,6,71,23.83
2024-01-01 02:39:00,155,48,8,115,21.58
2024-01-01 02:39:30,133,41,8,102,22.35
2024-01-01 02:40:00,138,40,5,123,24.0
2024-01-01 02:40:30,144,50,5,82,24.56
2024-01-01 02:41:00,141,43,7,92,21.75
2024-01-01 02:41:30,158,49,8,106,22.64
2024-01-01 02:42:00,150,35,8,137,25.03
2024-01-01 02:42:30,144,46,8,125,21.52
2024-01-01 02:43:00,140,35,7,81,28.59
2024-01-01 02:43:30,136,41,5,116,23.61
2024-01-01 02:44:00,146,39,7,186,23.2
2024-01-01 02:44:30,159,52,8,161,21.73
2024-01-01 02:45:00,144,48,7,105,19.65
2024-01-01 02:45:30,144,51,5,95,22.25
2024-01-01 02:46:00,155,48,6,100,18.96
2024-01-01 02:46:30,123,37,8,103,21.11
2024-01-01 02:47:00,144,54,6,119,24.09
2024-01-01 02:47:30,130,28,10,109,24.65
2024-01-01 02:48:00,129,40,6,99,21.4
2024-01-01 02:48:30,139,39,7,133,22.35
2024-01-01 02:49:00,131,41,9,96,24.64
2024-01-01 02:49:30,145,35,6,96,20.34
2024-01-01 02:50:00,141,41,7,97,24.19
2024-01-01 02:50:30,148,38,9,121,25.18
2024-01-01 02:51:00,128,36,4,98,25.94
2024-01-01 02:51:30,139,26,6,106,24.74
2024-01-01 02:52:00,127,40,8,121,24.63
2024-01-01 02:52:30,135,42,8,132,27.05
2024-01-01 02:53:00,156,42,6,151,17.6
2024-01-01 02:53:30,147,47,6,149,21.34
2024-01-01 02:54:00,136,36,9,110,22.82
2024-01-01 02:54:30,135,36,4,113,24.35
2024-01-01 02:55:00,140,44,8,86,21.92
2024-01-01 02:55:30,144,51,8,107,21.54
2024-01-01 02:56:00,130,39,5,112,26.3
2024-01-01 02:56:30,148,50,5,85,18.91
2024-01-01 02:57:00,137,45,10,99,23.03
2024-01-01 02:57:30,141,44,6,144,19.95
2024-01-01 02:58:00,149,41,10,104,23.65
2024-01-01 02:58:30,141,45,6,134,23.11
2024-01-01 02:59:00,130,39,6,100,19.98
2024-01-01 02:59:30,150,37,4,111,23.34
2024-01-01 03:00:00,157,44,13,121,21.99
2024-01-01 03:00:30,158,47,7,89,24.42
2024-01-01 03:01:00,169,48,8,148,20.17
2024-01-01 03:01:30,169,46,9,144,21.79
2024-01-01 03:02:00,150,45,7,114,22.05
2024-01-01 03:02:30,166,53,6,160,21.69
2024-01-01 03:03:00,155,45,9,145,24.03
2024-01-01 03:03:30,151,48,12,117,23.3
2024-01-01 03:04:00,161,39,11,125,24.0
2024-01-01 03:04:30,163,53,4,163,22.9
2024-01-01 03:05:00,151,49,10,132,23.62
2024-01-01 03:05:30,155,52,11,142,22.97
2024-01-01 03:06:00,154,47,8,122,22.7
2024-01-01 03:06:30,155,36,5,148,25.61
2024-01-01 03:07:00,158,52,11,127,22.87
2024-01-01 03:07:30,150,49,7,112,20.96
2024-01-01 03:08:00,153,36,6,148,24.98
2024-01-01 03:08:30,148,47,10,94,26.06
2024-01-01 03:09:00,167,44,8,117,22.04
2024-01-01 03:09:30,159,40,9,125,25.05
2024-01-01 03:10:00,162,53,7,124,23.79
2024-01-01 03:10:30,138,42,7,119,27.52
2024-01-01 03:11:00,147,53,7,139,27.71
2024-01-01 03:11:30,155,53,9,133,27.1
2024-01-01 03:12:00,163,45,10,114,26.51
2024-01-01 03:12:30,146,42,7,98,25.73
2024-01-01 03:13:00,177,51,8,159,25.47
2024-01-01 03:13:30,157,39,11,143,23.37
2024-01-01 03:14:00,156,42,8,139,25.09
2024-01-01 03:14:30,148,30,8,106,28.98
2024-01-01 03:15:00,155,48,6,143,22.14
2024-01-01 03:15:30,159,45,8,115,25.58
2024-01-01 03:16:00,173,39,6,169,24.35
2024-01-01 03:16:30,130,36,7,87,28.76
2024-01-01 03:17:00,151,32,8,139,28.44
2024-01-01 03:17:30,146,57,11,115,21.48
2024-01-01 03:18:00,154,42,8,139,27.74
2024-01-01 03:18:30,157,47,7,125,25.95
2024-01-01 03:19:00,158,48,7,105,25.9
2024-01-01 03:19:30,164,58,11,130,27.02
2024-01-01 03:20:00,158,46,7,123,26.9
2024-01-01 03:20:30,160,47,9,150,21.62
2024-01-01 03:21:00,142,38,7,124,23.6
2024-01-01 03:21:30,159,39,6,141,26.18
2024-01-01 03:22:00,153,48,10,122,28.88
2024-01-01 03:22:30,162,53,8,123,24.64
2024-01-01 03:23:00,158,41,7,148,29.06
2024-01-01 03:23:30,145,40,4,96,27.31
2024-01-01 03:24:00,147,38,6,130,25.05
2024-01-01 03:24:30,143,44,8,113,28.23
2024-01-01 03:25:00,142,40,12,97,25.73
2024-01-01 03:25:30,153,47,6,136,26.56
2024-01-01 03:26:00,148,46,5,112,29.38
2024-01-01 03:26:30,156,38,9,147,18.52
2024-01-01 03:27:00,155,38,7,112,27.14
2024-01-01 03:27:30,162,46,10,149,28.59
2024-01-01 03:28:00,160,51,7,121,24.44
2024-01-01 03:28:30,141,38,7,107,27.09
2024-01-01 03:29:00,141,43,9,132,29.99
2024-01-01 03:29:30,155,51,7,126,26.17
2024-01-01 03:30:00,157,49,9,124,27.47
2024-01-01 03:30:30,159,50,10,123,30.38
2024-01-01 03:31:00,150,49,6,134,26.61
2024-01-01 03:31:30,147,45,5,148,26.65
2024-01-01 03:32:00,154,41,6,110,24.73
2024-01-01 03:32:30,140,51,5,110,29.04
2024-01-01 03:33:00,161,46,9,141,30.46
2024-01-01 03:33:30,151,49,5,107,24.31
2024-01-01 03:34:00,162,47,4,142,23.69
2024-01-01 03:34:30,151,43,8,103,24.0
2024-01-01 03:35:00,162,46,9,169,25.06
2024-01-01 03:35:30,157,43,10,127,28.67
2024-01-01 03:36:00,153,38,7,144,25.32
2024-01-01 03:36:30,156,36,5,118,25.28
2024-01-01 03:37:00,164,46,10,115,24.91
2024-01-01 03:37:30,144,33,7,115,26.83
2024-01-01 03:38:00,147,44,3,129,25.93
2024-01-01 03:38:30,157,48,7,119,23.56
2024-01-01 03:39:00,167,52,9,117,22.31
2024-01-01 03:39:30,166,49,8,117,24.56
2024-01-01 03:40:00,145,49,4,149,26.72
2024-01-01 03:40:30,164,42,5,118,27.15
2024-01-01 03:41:00,149,45,6,118,27.41
2024-01-01 03:41:30,169,47,6,121,22.49
2024-01-01 03:42:00,151,37,6,109,26.19
2024-01-01 03:42:30,152,45,5,131,22.92
2024-01-01 03:43:00,165,51,4,140,25.69
2024-01-01 03:43:30,163,56,7,148,23.98
2024-01-01 03:44:00,162,45,6,171,24.81
2024-01-01 03:44:30,149,48,5,151,23.65
2024-01-01 03:45:00,148,41,6,136,24.93
2024-01-01 03:45:30,149,46,5,97,24.84
2024-01-01 03:46:00,140,48,11,127,24.7
2024-01-01 03:46:30,152,48,8,123,22.7
2024-01-01 03:47:00,170,53,11,128,28.63
2024-01-01 03:47:30,152,50,9,141,24.72
2024-01-01 03:48:00,156,45,10,125,24.01
2024-01-01 03:48:30,151,48,11,146,24.48
2024-01-01 03:49:00,153,54,7,139,28.13
2024-01-01 03:49:30,155,55,8,144,29.82
2024-01-01 03:50:00,163,42,11,131,23.12
2024-01-01 03:50:30,138,39,8,94,29.75
2024-01-01 03:51:00,146,45,9,87,24.33
2024-01-01 03:51:30,158,51,9,105,24.69
2024-01-01 03:52:00,157,66,8,118,25.26
2024-01-01 03:52:30,172,46,8,125,26.58
2024-01-01 03:53:00,161,42,8,131,28.37
2024-01-01 03:53:30,157,56,8,108,24.78
2024-01-01 03:54:00,162,52,8,100,26.5
2024-01-01 03:54:30,157,49,6,101,19.31
2024-01-01 03:55:00,143,47,7,75,26.59
2024-01-01 03:55:30,141,44,7,96,25.6
2024-01-01 03:56:00,156,47,10,118,22.96
2024-01-01 03:56:30,149,47,7,96,23.45
2024-01-01 03:57:00,147,46,5,95,29.5
2024-01-01 03:57:30,160,47,8,125,25.07
2024-01-01 03:58:00,136,48,7,78,28.83
2024-01-01 03:58:30,145,43,7,118,28.47
2024-01-01 03:59:00,155,40,7,84,25.86
2024-01-01 03:59:30,145,43,7,107,26.71
2024-01-01 04:00:00,168,52,8,121,28.06
2024-01-01 04:00:30,183,60,9,133,22.99
2024-01-01 04:01:00,170,51,7,130,22.17
2024-01-01 04:01:30,172,57,6,133,26.81
2024-01-01 04:02:00,154,38,6,86,27.26
2024-01-01 04:02:30,184,57,9,141,28.07
2024-01-01 04:03:00,176,56,6,151,28.55
2024-01-01 04:03:30,174,55,8,148,26.74
2024-01-01 04:04:00,153,48,6,153,26.96
2024-01-01 04:04:30,171,49,6,147,23.69
2024-01-01 04:05:00,175,52,12,154,25.26
2024-01-01 04:05:30,172,47,6,176,24.18
2024-01-01 04:06:00,172,49,9,181,26.04
2024-01-01 04:06:30,180,54,6,156,22.23
2024-01-01 04:07:00,173,51,9,124,23.11
2024-01-01 04:07:30,169,45,11,115,27.03
2024-01-01 04:08:00,180,50,7,144,21.25
2024-01-01 04:08:30,170,57,8,135,25.16
2024-01-01 04:09:00,164,47,10,138,26.99
2024-01-01 04:09:30,168,53,7,138,24.36
2024-01-01 04:10:00,155,47,5,156,28.87
2024-01-01 04:10:30,170,58,8,192,34.53
2024-01-01 04:11:00,150,46,10,137,28.45
2024-01-01 04:11:30,174,56,8,136,31.95
2024-01-01 04:12:00,168,53,9,173,29.35
2024-01-01 04:12:30,158,39,9,122,31.89
2024-01-01 04:13:00,169,56,11,92,27.88
2024-01-01 04:13:30,173,49,11,110,29.62
2024-01-01 04:14:00,181,52,3,147,27.35
2024-01-01 04:14:30,169,53,9,124,30.36
2024-01-01 04:15:00,170,48,12,143,28.22
2024-01-01 04:15:30,177,52,11,170,28.77
2024-01-01 04:16:00,169,52,10,122,26.57
2024-01-01 04:16:30,161,57,6,93,31.53
2024-01-01 04:17:00,157,49,3,130,27.54
2024-01-01 04:17:30,155,44,8,139,29.02
2024-01-01 04:18:00,180,63,11,115,32.5
2024-01-01 04:18:30,156,49,12,121,27.58
2024-01-01 04:19:00,168,43,7,159,22.87
2024-01-01 04:19:30,165,59,9,122,28.11
2024-01-01 04:20:00,168,56,9,95,26.88
2024-01-01 04:20:30,175,53,8,175,27.53
2024-01-01 04:21:00,168,52,8,125,26.81
2024-01-01 04:21:30,162,45,9,110,31.4
2024-01-01 04:22:00,144,41,11,142,31.01
2024-01-01 04:22:30,171,49,7,146,23.16
2024-01-01 04:23:00,152,53,8,138,27.85
2024-01-01 04:23:30,160,50,8,122,27.17
2024-01-01 04:24:00,181,55,11,146,32.53
2024-01-01 04:24:30,178,45,8,128,28.88
2024-01-01 04:25:00,177,60,9,149,31.85
2024-01-01 04:25:30,180,47,11,146,31.54
2024-01-01 04:26:00,165,46,8,138,28.89
2024-01-01 04:26:30,180,47,9,137,27.67
2024-01-01 04:27:00,171,53,6,138,27.21
2024-01-01 04:27:30,167,46,10,190,23.92
2024-01-01 04:28:00,158,37,9,149,28.56
2024-01-01 04:28:30,175,52,12,112,24.57
2024-01-01 04:29:00,180,53,7,147,28.68
2024-01-01 04:29:30,178,48,10,144,23.97
2024-01-01 04:30:00,167,56,9,110,27.41
2024-01-01 04:30:30,164,46,7,142,27.52
2024-01-01 04:31:00,173,54,10,92,23.59
2024-01-01 04:31:30,157,52,11,127,25.98
2024-01-01 04:32:00,194,53,9,126,25.06
2024-01-01 04:32:30,179,57,10,112,28.54
2024-01-01 04:33:00,161,47,12,155,26.1
2024-01-01 04:33:30,172,54,10,182,23.2
2024-01-01 04:34:00,175,57,11,142,29.91
2024-01-01 04:34:30,161,45,12,114,29.82
2024-01-01 04:35:00,179,56,8,157,27.63
2024-01-01 04:35:30,166,57,6,124,31.56
2024-01-01 04:36:00,166,52,6,122,27.33
2024-01-01 04:36:30,170,57,8,148,31.65
2024-01-01 04:37:00,177,57,13,129,28.46
2024-01-01 04:37:30,164,52,5,159,28.27
2024-01-01 04:38:00,155,57,6,150,26.44
